E:\Repos\digit-symbol-recogniser\data\examples\sec0000.png,79320
E:\Repos\digit-symbol-recogniser\data\examples\sec0001.png,43228
E:\Repos\digit-symbol-recogniser\data\examples\sec0002.png,34779
E:\Repos\digit-symbol-recogniser\data\examples\sec0003.png,43779
E:\Repos\digit-symbol-recogniser\data\examples\sec0004.png,46365
E:\Repos\digit-symbol-recogniser\data\examples\sec0005.png,29160
E:\Repos\digit-symbol-recogniser\data\examples\sec0006.png,12691
E:\Repos\digit-symbol-recogniser\data\examples\sec0007.png,47706
E:\Repos\digit-symbol-recogniser\data\examples\sec0008.png,54925
E:\Repos\digit-symbol-recogniser\data\examples\sec0009.png,21797
E:\Repos\digit-symbol-recogniser\data\examples\sec0010.png,84202
E:\Repos\digit-symbol-recogniser\data\examples\sec0011.png,80295
E:\Repos\digit-symbol-recogniser\data\examples\sec0012.png,70716
E:\Repos\digit-symbol-recogniser\data\examples\sec0013.png,18146
E:\Repos\digit-symbol-recogniser\data\examples\sec0014.png,71389
E:\Repos\digit-symbol-recogniser\data\examples\sec0015.png,16843
E:\Repos\digit-symbol-recogniser\data\examples\sec0016.png,55223
E:\Repos\digit-symbol-recogniser\data\examples\sec0017.png,54239
E:\Repos\digit-symbol-recogniser\data\examples\sec0018.png,46507
E:\Repos\digit-symbol-recogniser\data\examples\sec0019.png,86801
E:\Repos\digit-symbol-recogniser\data\examples\sec0020.png,72768
E:\Repos\digit-symbol-recogniser\data\examples\sec0021.png,75735
E:\Repos\digit-symbol-recogniser\data\examples\sec0022.png,64564
E:\Repos\digit-symbol-recogniser\data\examples\sec0023.png,69687
E:\Repos\digit-symbol-recogniser\data\examples\sec0024.png,95581
E:\Repos\digit-symbol-recogniser\data\examples\sec0025.png,17126
E:\Repos\digit-symbol-recogniser\data\examples\sec0026.png,95807
E:\Repos\digit-symbol-recogniser\data\examples\sec0027.png,47254
E:\Repos\digit-symbol-recogniser\data\examples\sec0028.png,20428
E:\Repos\digit-symbol-recogniser\data\examples\sec0029.png,94783
E:\Repos\digit-symbol-recogniser\data\examples\sec0030.png,25885
E:\Repos\digit-symbol-recogniser\data\examples\sec0031.png,66157
E:\Repos\digit-symbol-recogniser\data\examples\sec0032.png,37178
E:\Repos\digit-symbol-recogniser\data\examples\sec0033.png,26325
E:\Repos\digit-symbol-recogniser\data\examples\sec0034.png,61797
E:\Repos\digit-symbol-recogniser\data\examples\sec0035.png,50253
E:\Repos\digit-symbol-recogniser\data\examples\sec0036.png,91385
E:\Repos\digit-symbol-recogniser\data\examples\sec0037.png,48160
E:\Repos\digit-symbol-recogniser\data\examples\sec0038.png,32481
E:\Repos\digit-symbol-recogniser\data\examples\sec0039.png,89826
E:\Repos\digit-symbol-recogniser\data\examples\sec0040.png,28356
E:\Repos\digit-symbol-recogniser\data\examples\sec0041.png,18984
E:\Repos\digit-symbol-recogniser\data\examples\sec0042.png,14317
E:\Repos\digit-symbol-recogniser\data\examples\sec0043.png,87716
E:\Repos\digit-symbol-recogniser\data\examples\sec0044.png,31551
E:\Repos\digit-symbol-recogniser\data\examples\sec0045.png,47441
E:\Repos\digit-symbol-recogniser\data\examples\sec0046.png,94263
E:\Repos\digit-symbol-recogniser\data\examples\sec0047.png,49144
E:\Repos\digit-symbol-recogniser\data\examples\sec0048.png,77504
E:\Repos\digit-symbol-recogniser\data\examples\sec0049.png,55794
E:\Repos\digit-symbol-recogniser\data\examples\sec0050.png,22385
E:\Repos\digit-symbol-recogniser\data\examples\sec0051.png,43312
E:\Repos\digit-symbol-recogniser\data\examples\sec0052.png,71350
E:\Repos\digit-symbol-recogniser\data\examples\sec0053.png,55795
E:\Repos\digit-symbol-recogniser\data\examples\sec0054.png,48375
E:\Repos\digit-symbol-recogniser\data\examples\sec0055.png,11454
E:\Repos\digit-symbol-recogniser\data\examples\sec0056.png,55856
E:\Repos\digit-symbol-recogniser\data\examples\sec0057.png,38592
E:\Repos\digit-symbol-recogniser\data\examples\sec0058.png,93906
E:\Repos\digit-symbol-recogniser\data\examples\sec0059.png,26321
E:\Repos\digit-symbol-recogniser\data\examples\sec0060.png,65156
E:\Repos\digit-symbol-recogniser\data\examples\sec0061.png,85571
E:\Repos\digit-symbol-recogniser\data\examples\sec0062.png,79763
E:\Repos\digit-symbol-recogniser\data\examples\sec0063.png,72727
E:\Repos\digit-symbol-recogniser\data\examples\sec0064.png,37297
E:\Repos\digit-symbol-recogniser\data\examples\sec0065.png,27494
E:\Repos\digit-symbol-recogniser\data\examples\sec0066.png,77350
E:\Repos\digit-symbol-recogniser\data\examples\sec0067.png,55326
E:\Repos\digit-symbol-recogniser\data\examples\sec0068.png,95969
E:\Repos\digit-symbol-recogniser\data\examples\sec0069.png,50784
E:\Repos\digit-symbol-recogniser\data\examples\sec0070.png,72731
E:\Repos\digit-symbol-recogniser\data\examples\sec0071.png,91979
E:\Repos\digit-symbol-recogniser\data\examples\sec0072.png,97638
E:\Repos\digit-symbol-recogniser\data\examples\sec0073.png,75278
E:\Repos\digit-symbol-recogniser\data\examples\sec0074.png,42778
E:\Repos\digit-symbol-recogniser\data\examples\sec0075.png,25616
E:\Repos\digit-symbol-recogniser\data\examples\sec0076.png,18255
E:\Repos\digit-symbol-recogniser\data\examples\sec0077.png,88720
E:\Repos\digit-symbol-recogniser\data\examples\sec0078.png,83388
E:\Repos\digit-symbol-recogniser\data\examples\sec0079.png,90385
E:\Repos\digit-symbol-recogniser\data\examples\sec0080.png,19811
E:\Repos\digit-symbol-recogniser\data\examples\sec0081.png,26993
E:\Repos\digit-symbol-recogniser\data\examples\sec0082.png,21822
E:\Repos\digit-symbol-recogniser\data\examples\sec0083.png,74854
E:\Repos\digit-symbol-recogniser\data\examples\sec0084.png,16182
E:\Repos\digit-symbol-recogniser\data\examples\sec0085.png,84816
E:\Repos\digit-symbol-recogniser\data\examples\sec0086.png,94773
E:\Repos\digit-symbol-recogniser\data\examples\sec0087.png,74647
E:\Repos\digit-symbol-recogniser\data\examples\sec0088.png,68783
E:\Repos\digit-symbol-recogniser\data\examples\sec0089.png,91423
E:\Repos\digit-symbol-recogniser\data\examples\sec0090.png,73129
E:\Repos\digit-symbol-recogniser\data\examples\sec0091.png,23728
E:\Repos\digit-symbol-recogniser\data\examples\sec0092.png,97726
